popup_name	blog_post_url	popup_version|start_date|popup_category	popup_header	popup_description	popup_image_url	popup_title	views	registrations
Author Bio Template 2 (New Style)	https://blog.bookly.com/about-the-author-examples/	"[""A"",""2020-05-01"",""Perfecting your Craft""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	About the Author Examples (That You'll Actually Want to Read)	1554	70
Author Bio Template 2 (New Style)	https://blog.bookly.com/about-the-author-examples/	"[""A"",""2020-06-05"",""Perfecting your Craft""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	About the Author Examples (That You'll Actually Want to Read)	2667	126
Author Bio Template 2 (New Style)	https://blog.bookly.com/about-the-author-examples//	"[""A"",""2020-05-01"",""Perfecting your Craft""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	About the Author Examples (That You'll Actually Want to Read)	35	0
Author Bio Template 2 (New Style)	https://blog.bookly.com/author-bio/	"["""",""2020-05-27"",""Book Marketing, Understanding Publishing""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	How to Write a Memorable Author Bio (with Template)	11907	882
Author Bio Template 2 (New Style)	https://blog.bookly.com/author-bio//	"["""",""2020-05-27"",""Book Marketing, Understanding Publishing""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	How to Write a Memorable Author Bio (with Template)	70	0
Author Bio Template 2 (New Style)	https://blog.bookly.com/author-media-kit-template/	"[""A"",""2020-06-12"",""Understanding Publishing""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	How to Build a Rocking Author Media Kit: a 7-Step Template	126	0
Author Bio Template 2 (New Style)	https://blog.bookly.com/kdp-select/	"[""B"",""2020-05-08"",""Book Marketing, Understanding Publishing""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	READ THIS Before You Enroll in KDP Select!	3087	35
Author Bio Template 2 (New Style)	https://blog.bookly.com/kdp-select/	"[""B"",""2020-05-08"",""Book Marketing, Understanding Publishing""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	¡LEA ESTO antes de inscribirse en KDP Select!	21	0
Author Bio Template 2 (New Style)	https://blog.bookly.com/kdp-select//	"[""B"",""2020-05-08"",""Book Marketing, Understanding Publishing""]"	"
FREE: Author Bio Template"	Download a copy and write your bio in under 5 minutes	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-11-300x157.jpg	READ THIS Before You Enroll in KDP Select!	21	0
Book Launch Checklist	https://blog.bookly.com/ebook-distribution/	"["""","""",""Understanding Publishing""]"	"
Download The Book Launch Checklist"	"
Enter your email address and download the complete Book Launch Checklist for free."	https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/modal-book-launch-300x163.jpg	Ebook Distribution: The Complete Guide for New Authors	973	56
