id,code,name,price
1,6740667660318,Durable Leather Bottle,646
2,4817977003295,Ergonomic Concrete Computer,760
3,8500172465055,Intelligent Marble Lamp,628
4,5601011586993,Fantastic Bronze Keyboard,759
5,0372153461633,Sleek Concrete Car,304
6,2554804695989,Enormous Bronze Bottle,441
7,3676371361681,Small Granite Watch,751
8,8469630039163,Enormous Marble Bag,323
9,7240931291709,Sleek Leather Shirt,925
10,9796921448809,Enormous Copper Table,372
11,2575869736615,Durable Concrete Shirt,904
12,8937214501486,Aerodynamic Marble Wallet,760
13,1560552814894,Heavy Duty Plastic Knife,419
14,6398006914440,Intelligent Copper Table,723
15,9741966940108,Ergonomic Wooden Clock,390
16,1473658535825,Aerodynamic Paper Computer,539
17,8919833826935,Sleek Paper Wallet,835
18,0246397183005,Sleek Paper Table,673
19,7343987181168,Enormous Paper Lamp,642
20,9576102987316,Intelligent Plastic Chair,829
21,0001145384932,Heavy Duty Wooden Plate,754
22,9159642407423,Fantastic Steel Pants,1016
23,9907251180233,Sleek Marble Clock,607
24,3146311548972,Synergistic Plastic Gloves,264
25,0780036568513,Synergistic Silk Wallet,890
26,8743976617118,Durable Steel Wallet,659
27,1536888767586,Intelligent Iron Bag,1096
28,2841132737871,Intelligent Paper Plate,788
29,8805469485793,Heavy Duty Copper Shirt,350
30,4063200119930,Incredible Iron Wallet,947
31,1620438134192,Aerodynamic Marble Coat,421
32,5210376170916,Mediocre Wooden Wallet,591
33,5703177391197,Rustic Paper Gloves,455
34,2924827306368,Practical Paper Gloves,426
35,5640669506854,Ergonomic Iron Table,361
36,1504089577006,Lightweight Linen Coat,337
37,4419712241407,Incredible Plastic Bag,370
38,1790904205142,Enormous Copper Lamp,754
39,6538974486666,Small Aluminum Shoes,113
40,5255342219800,Gorgeous Leather Plate,467
41,7947704586023,Fantastic Wooden Shoes,426
42,0241800593013,Incredible Iron Pants,735
43,8467195492218,Heavy Duty Wool Knife,490
44,4375611998234,Rustic Aluminum Watch,915
45,1844239872927,Durable Wool Chair,246
46,0827391002686,Gorgeous Plastic Bench,372
47,1672176961158,Awesome Plastic Gloves,225
48,1778164704889,Enormous Linen Wallet,977
49,8069210641962,Sleek Paper Chair,462
50,4593951860800,Synergistic Aluminum Knife,751
51,5599708936704,Practical Leather Lamp,928
52,9054436959846,Practical Leather Shirt,1053
53,0322584120524,Durable Wool Gloves,160
54,4769576054133,Lightweight Bronze Bottle,349
55,2966057531417,Durable Copper Bottle,842
56,6652551058258,Durable Wooden Bottle,852
57,5052790050869,Incredible Leather Pants,189
58,3025486854548,Small Rubber Car,891
59,3029353505892,Sleek Linen Chair,938
60,9249708145632,Small Copper Clock,941
61,5716629014001,Lightweight Wooden Shoes,553
62,2478103287310,Fantastic Leather Bag,1095
63,9239171895905,Rustic Paper Hat,246
64,1608433775619,Ergonomic Marble Car,291
65,9076979491881,Synergistic Marble Wallet,381
66,1909152050552,Practical Bronze Plate,856
67,1854089022571,Sleek Wool Bottle,326
68,2797699601431,Heavy Duty Cotton Coat,164
69,4074838058416,Lightweight Concrete Coat,698
70,0221554516223,Mediocre Granite Chair,483
71,9847319569238,Practical Granite Watch,484
72,0909939328509,Heavy Duty Marble Plate,739
73,1077534595776,Sleek Silk Plate,743
74,2637874121807,Aerodynamic Granite Clock,1035
75,8436938936845,Rustic Wooden Lamp,476
76,5758737840097,Rustic Paper Keyboard,725
77,8252467461968,Ergonomic Leather Table,153
78,8443344810218,Heavy Duty Linen Bench,236
79,3353424538060,Sleek Cotton Chair,347
80,0503429353950,Incredible Silk Bottle,787
81,3372223673000,Awesome Plastic Hat,984
82,1108479423098,Rustic Aluminum Lamp,472
83,1087695430427,Gorgeous Marble Shirt,770
84,9215060609020,Incredible Leather Shirt,518
85,3094639852342,Lightweight Paper Shirt,526
86,4395101986572,Awesome Linen Bag,998
87,2858092827474,Mediocre Concrete Shoes,223
88,1112059119585,Synergistic Iron Bottle,349
89,4196407149452,Aerodynamic Wool Clock,1007
90,0297371098600,Ergonomic Granite Bag,172
91,8289506163903,Durable Paper Shoes,327
92,3230704848104,Gorgeous Paper Clock,342
93,8249961605080,Enormous Iron Chair,1033
94,4856606201077,Ergonomic Silk Pants,976
95,3350487653044,Rustic Plastic Bench,1008
96,4074438456629,Synergistic Linen Shoes,822
97,1155419657372,Incredible Paper Watch,157
98,9187923241268,Intelligent Iron Keyboard,982
99,4839177656958,Mediocre Silk Wallet,192
100,2096708161332,Rustic Iron Coat,687
